GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mon-application,fr.univavignon.pokedex.api,Team,0,34,0,0,0,4,0,1,0,1
mon-application,fr.univavignon.pokedex.api,PokemonFactory,37,0,0,0,2,0,2,0,2,0
mon-application,fr.univavignon.pokedex.api,PokedexException,4,0,0,0,2,0,1,0,1,0
mon-application,fr.univavignon.pokedex.api,PokemonMetadataProvider,28,0,0,0,2,0,2,0,2,0
mon-application,fr.univavignon.pokedex.api,Pokedex,86,0,0,0,18,0,9,0,9,0
mon-application,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
mon-application,fr.univavignon.pokedex.api,PokemonTrainerFactory,20,0,0,0,5,0,2,0,2,0
mon-application,fr.univavignon.pokedex.api,PokedexFactory,9,0,0,0,2,0,2,0,2,0
mon-application,fr.univavignon.pokedex.api,PokemonTrainer,9,12,0,0,3,5,3,1,3,1
mon-application,fr.univavignon.pokedex.api,PokemonComparators,54,0,0,0,11,0,3,0,3,0
mon-application,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
